[0001|0.36] bce:  0.00244 | dice:  0.32221 | iou_background:  0.54729 | iou_ring:  0.63623 | iou_boundary:  0.52017 | iou_center:  0.00000 | lr:  0.00100
[0001|0.38] bce:  0.00242 | dice:  0.32297 | iou_background:  0.55302 | iou_ring:  0.63323 | iou_boundary:  0.51933 | iou_center:  0.00000 | lr:  0.00100
[0001|0.40] bce:  0.00235 | dice:  0.32406 | iou_background:  0.54688 | iou_ring:  0.63484 | iou_boundary:  0.51821 | iou_center:  0.00000 | lr:  0.00100
[0001|0.42] bce:  0.00239 | dice:  0.32209 | iou_background:  0.54570 | iou_ring:  0.63027 | iou_boundary:  0.52028 | iou_center:  0.00000 | lr:  0.00100
[0001|0.44] bce:  0.00233 | dice:  0.31963 | iou_background:  0.54961 | iou_ring:  0.62957 | iou_boundary:  0.52316 | iou_center:  0.00000 | lr:  0.00100
[0001|0.47] bce:  0.00228 | dice:  0.32020 | iou_background:  0.55123 | iou_ring:  0.63001 | iou_boundary:  0.52241 | iou_center:  0.00000 | lr:  0.00100
[0001|0.49] bce:  0.00223 | dice:  0.32099 | iou_background:  0.55497 | iou_ring:  0.63058 | iou_boundary:  0.52171 | iou_center:  0.00000 | lr:  0.00100
[0001|0.51] bce:  0.00222 | dice:  0.31927 | iou_background:  0.56373 | iou_ring:  0.62693 | iou_boundary:  0.52371 | iou_center:  0.00000 | lr:  0.00100
[0001|0.53] bce:  0.00221 | dice:  0.32170 | iou_background:  0.55334 | iou_ring:  0.62817 | iou_boundary:  0.52120 | iou_center:  0.00000 | lr:  0.00100
[0001|0.56] bce:  0.00220 | dice:  0.32323 | iou_background:  0.55677 | iou_ring:  0.62621 | iou_boundary:  0.51986 | iou_center:  0.00000 | lr:  0.00100
[0001|0.58] bce:  0.00221 | dice:  0.32386 | iou_background:  0.56046 | iou_ring:  0.62229 | iou_boundary:  0.51904 | iou_center:  0.00000 | lr:  0.00100
[0001|0.60] bce:  0.00221 | dice:  0.32563 | iou_background:  0.55686 | iou_ring:  0.62407 | iou_boundary:  0.51777 | iou_center:  0.00000 | lr:  0.00100
[0001|0.62] bce:  0.00219 | dice:  0.32351 | iou_background:  0.55530 | iou_ring:  0.62320 | iou_boundary:  0.52013 | iou_center:  0.00000 | lr:  0.00100
[0001|0.64] bce:  0.00218 | dice:  0.32136 | iou_background:  0.55614 | iou_ring:  0.62338 | iou_boundary:  0.52267 | iou_center:  0.00000 | lr:  0.00100
[0001|0.67] bce:  0.00216 | dice:  0.32120 | iou_background:  0.55893 | iou_ring:  0.62171 | iou_boundary:  0.52291 | iou_center:  0.00000 | lr:  0.00100
[0001|0.69] bce:  0.00214 | dice:  0.32101 | iou_background:  0.56125 | iou_ring:  0.62065 | iou_boundary:  0.52313 | iou_center:  0.00000 | lr:  0.00100
[0001|0.71] bce:  0.00213 | dice:  0.31953 | iou_background:  0.56340 | iou_ring:  0.62071 | iou_boundary:  0.52477 | iou_center:  0.00000 | lr:  0.00100
[0001|0.73] bce:  0.00209 | dice:  0.31871 | iou_background:  0.55971 | iou_ring:  0.62068 | iou_boundary:  0.52560 | iou_center:  0.00000 | lr:  0.00100
[0001|0.76] bce:  0.00211 | dice:  0.31748 | iou_background:  0.56425 | iou_ring:  0.61971 | iou_boundary:  0.52690 | iou_center:  0.00000 | lr:  0.00100
[0001|0.78] bce:  0.00209 | dice:  0.31537 | iou_background:  0.56812 | iou_ring:  0.62036 | iou_boundary:  0.52938 | iou_center:  0.00000 | lr:  0.00100
[0001|0.80] bce:  0.00210 | dice:  0.31502 | iou_background:  0.56063 | iou_ring:  0.62313 | iou_boundary:  0.52987 | iou_center:  0.00000 | lr:  0.00100
[0001|0.82] bce:  0.00208 | dice:  0.31375 | iou_background:  0.56259 | iou_ring:  0.62291 | iou_boundary:  0.53142 | iou_center:  0.00000 | lr:  0.00100
[0001|0.84] bce:  0.00206 | dice:  0.31382 | iou_background:  0.56355 | iou_ring:  0.62402 | iou_boundary:  0.53135 | iou_center:  0.00000 | lr:  0.00100
[0001|0.87] bce:  0.00204 | dice:  0.31252 | iou_background:  0.56268 | iou_ring:  0.62580 | iou_boundary:  0.53286 | iou_center:  0.00000 | lr:  0.00100
[0001|0.89] bce:  0.00205 | dice:  0.31292 | iou_background:  0.56555 | iou_ring:  0.62376 | iou_boundary:  0.53245 | iou_center:  0.00000 | lr:  0.00100
[0001|0.91] bce:  0.00203 | dice:  0.31244 | iou_background:  0.57036 | iou_ring:  0.62345 | iou_boundary:  0.53293 | iou_center:  0.00000 | lr:  0.00100
